3040	2020-10-15 23:26:06.809	20.834	20.8379	20.834	
3041	2020-10-15 23:26:07.809	20.834	20.838	20.834	
3042	2020-10-15 23:26:08.812	20.834	20.838	20.834	
3043	2020-10-15 23:26:09.815	20.834	20.8378	20.834	
3044	2020-10-15 23:26:10.819	20.834	20.8376	20.834	
3045	2020-10-15 23:26:11.821	20.834	20.8375	20.834	
3046	2020-10-15 23:26:12.824	20.834	20.8372	20.834	
3047	2020-10-15 23:26:13.827	20.834	20.8369	20.834	
3048	2020-10-15 23:26:14.829	20.834	20.8366	20.834	
3049	2020-10-15 23:26:15.831	20.834	20.8365	20.834	
3050	2020-10-15 23:26:16.833	20.834	20.8359	20.834	
3051	2020-10-15 23:26:17.834	20.834	20.8356	20.834	
3052	2020-10-15 23:26:18.849	20.834	20.8351	20.834	
3053	2020-10-15 23:26:19.851	20.834	20.835	20.834	
3054	2020-10-15 23:26:20.865	20.834	20.8346	20.834	
3055	2020-10-15 23:26:21.869	20.834	20.8342	20.834	
3056	2020-10-15 23:26:22.872	20.834	20.8336	20.834	
3057	2020-10-15 23:26:23.875	20.834	20.8329	20.834	
3058	2020-10-15 23:26:24.878	20.834	20.8333	20.834	
3059	2020-10-15 23:26:25.882	20.834	20.8333	20.834	
3060	2020-10-15 23:26:26.883	20.834	20.8331	20.834	
3061	2020-10-15 23:26:27.885	20.834	20.8326	20.834	
3062	2020-10-15 23:26:28.888	20.834	20.832	20.834	
3063	2020-10-15 23:26:29.892	20.834	20.8318	20.834	
3064	2020-10-15 23:26:30.893	20.834	20.8318	20.834	
3065	2020-10-15 23:26:31.900	20.834	20.8317	20.834	
3066	2020-10-15 23:26:32.899	20.834	20.832	20.834	
3067	2020-10-15 23:26:33.901	20.834	20.8318	20.834	
3068	2020-10-15 23:26:34.903	20.834	20.8319	20.834	
3069	2020-10-15 23:26:35.905	20.834	20.832	20.834	
3070	2020-10-15 23:26:36.908	20.834	20.8317	20.834	
3071	2020-10-15 23:26:37.910	20.834	20.8313	20.834	
3072	2020-10-15 23:26:38.914	20.834	20.8311	20.834	
3073	2020-10-15 23:26:39.916	20.834	20.8308	20.834	
3074	2020-10-15 23:26:40.919	20.834	20.831	20.834	
3075	2020-10-15 23:26:41.922	20.834	20.8307	20.834	
3076	2020-10-15 23:26:42.925	20.834	20.8301	20.834	
3077	2020-10-15 23:26:43.928	20.834	20.83	20.834	
3078	2020-10-15 23:26:44.932	20.834	20.8303	20.834	
3079	2020-10-15 23:26:45.935	20.834	20.8303	20.834	
3080	2020-10-15 23:26:46.939	20.834	20.8304	20.834	
3081	2020-10-15 23:26:47.943	20.834	20.8307	20.834	
3082	2020-10-15 23:26:48.945	20.834	20.8308	20.834	
3083	2020-10-15 23:26:49.946	20.834	20.8308	20.834	
3084	2020-10-15 23:26:50.950	20.834	20.8308	20.834	
3085	2020-10-15 23:26:51.953	20.834	20.8315	20.834	
3086	2020-10-15 23:26:52.954	20.834	20.8317	20.834	
3087	2020-10-15 23:26:53.957	20.834	20.8315	20.834	
3088	2020-10-15 23:26:54.959	20.834	20.8315	20.834	
3089	2020-10-15 23:26:55.963	20.834	20.8318	20.834	
3090	2020-10-15 23:26:56.978	20.834	20.8317	20.834	
3091	2020-10-15 23:26:57.982	20.834	20.8311	20.834	
3092	2020-10-15 23:26:58.985	20.834	20.8313	20.834	
3093	2020-10-15 23:26:59.985	20.834	20.8315	20.834	
3094	2020-10-15 23:27:00.988	20.834	20.8312	20.834	
3095	2020-10-15 23:27:02.003	20.834	20.8313	20.834	
3096	2020-10-15 23:27:03.004	20.834	20.8323	20.834	
3097	2020-10-15 23:27:04.007	20.834	20.8326	20.834	
3098	2020-10-15 23:27:05.008	20.834	20.8317	20.834	
3099	2020-10-15 23:27:06.010	20.834	20.8317	20.834	
3100	2020-10-15 23:27:07.014	20.834	20.8317	20.834	
3101	2020-10-15 23:27:08.016	20.834	20.8316	20.834	
3102	2020-10-15 23:27:09.019	20.834	20.8318	20.834	
3103	2020-10-15 23:27:10.023	20.834	20.8309	20.834	
3104	2020-10-15 23:27:11.025	20.834	20.8305	20.834	
3105	2020-10-15 23:27:12.029	20.834	20.8306	20.834	
3106	2020-10-15 23:27:13.033	20.834	20.8298	20.834	
3107	2020-10-15 23:27:14.035	20.834	20.8297	20.834	
3108	2020-10-15 23:27:15.038	20.834	20.8297	20.834	
3109	2020-10-15 23:27:16.040	20.834	20.83	20.834	
3110	2020-10-15 23:27:17.057	20.834	20.8299	20.834	
3111	2020-10-15 23:27:18.062	20.834	20.8304	20.834	
3112	2020-10-15 23:27:19.064	20.834	20.8304	20.834	
3113	2020-10-15 23:27:20.069	20.834	20.8306	20.834	
3114	2020-10-15 23:27:21.071	20.834	20.8306	20.834	
3115	2020-10-15 23:27:22.074	20.834	20.8309	20.834	
3116	2020-10-15 23:27:23.077	20.834	20.8309	20.834	
3117	2020-10-15 23:27:24.081	20.834	20.8317	20.834	
3118	2020-10-15 23:27:25.082	20.834	20.832	20.834	
3119	2020-10-15 23:27:26.085	20.834	20.8322	20.834	
3120	2020-10-15 23:27:27.089	20.834	20.8325	20.834	
3121	2020-10-15 23:27:28.092	20.834	20.8328	20.834	
3122	2020-10-15 23:27:29.094	20.834	20.8328	20.834	
3123	2020-10-15 23:27:30.096	20.834	20.8328	20.834	
3124	2020-10-15 23:27:31.098	20.834	20.8332	20.834	
3125	2020-10-15 23:27:32.101	20.834	20.8332	20.834	
3126	2020-10-15 23:27:33.103	20.834	20.8335	20.834	
3127	2020-10-15 23:27:34.107	20.834	20.8337	20.834	
3128	2020-10-15 23:27:35.110	20.834	20.8338	20.834	
3129	2020-10-15 23:27:36.112	20.834	20.8341	20.834	
3130	2020-10-15 23:27:37.115	20.834	20.8342	20.834	
3131	2020-10-15 23:27:38.117	20.834	20.8341	20.834	
3132	2020-10-15 23:27:39.121	20.834	20.8343	20.834	
3133	2020-10-15 23:27:40.124	20.834	20.8346	20.834	
3134	2020-10-15 23:27:41.126	20.834	20.8343	20.834	
3135	2020-10-15 23:27:42.129	20.834	20.8346	20.834	
3136	2020-10-15 23:27:43.132	20.834	20.8342	20.834	
3137	2020-10-15 23:27:44.134	20.834	20.8344	20.834	
3138	2020-10-15 23:27:45.137	20.834	20.8343	20.834	
3139	2020-10-15 23:27:46.141	20.834	20.834	20.834	
3140	2020-10-15 23:27:47.145	20.834	20.8336	20.834	
3141	2020-10-15 23:27:48.148	20.834	20.8337	20.834	
